learner_id,learner_name,grade,class_group
1,Stephanie Ross,8,8A
2,Zachary Hicks,10,10B
3,Anthony Rodriguez,9,9B
4,Rebecca Henderson,8,8E
5,James Ferrell,8,8E
6,Tricia Valencia,11,11A
7,Nathan Maldonado,8,8A
8,Debra Davidson,9,9B
9,Jeffrey Chavez,12,12E
10,Sherri Baker,8,8E
11,Cassandra Gaines,9,9E
12,Elizabeth Fowler,11,11B
13,Brittany Farmer,11,11E
14,Paula Moreno,10,10A
15,Fred Smith,9,9D
16,Sherry Decker,10,10C
17,Anthony Humphrey,9,9B
18,Angelica Tucker,10,10A
19,Philip Cannon,8,8D
20,John Pierce,8,8C
21,Shane Henderson,10,10E
22,Joshua Blair,10,10A
23,Eric Carney,11,11E
24,Jessica Holmes,8,8D
25,Danny Morgan,8,8E
26,Crystal Robinson,10,10E
27,Mark Perez,10,10E
28,Shannon Jones,9,9A
29,Michael Lewis,8,8B
30,Timothy Duncan,10,10A
31,Richard Aguirre,9,9A
32,Brent Jordan,11,11C
33,John Daniel,11,11C
34,Victoria Garcia,9,9C
35,Gerald Hensley,10,10B
36,Connor West,10,10A
37,Donald Wright,12,12B
38,Jessica Callahan,12,12B
39,Amber Kidd,9,9D
40,Tracy House,11,11C
41,Carol Tucker,12,12B
42,James Brown,10,10A
43,William Baker,9,9A
44,Jordan Henderson,10,10D
45,Whitney Peters,10,10A
46,Brittney Phillips,9,9E
47,Lauren Daniels,10,10B
48,Amy Silva,11,11D
49,Sarah Moore,11,11B
50,Angela Lopez,10,10B
51,Megan Young,9,9E
52,Steve Sanchez,12,12C
53,Lisa Barnes,12,12D
54,Kelly Donovan,12,12D
55,Mike Allen,10,10B
56,Michael Evans,9,9E
57,Paul Jones,11,11A
58,Zachary Ferrell,8,8A
59,Daniel Baker,9,9B
60,Shirley Suarez,11,11E
61,Christopher Bass,8,8D
62,Lisa Archer,11,11E
63,Aimee Montoya,11,11E
64,Matthew Mcmillan,10,10E
65,Brian Rodriguez,8,8A
66,Denise Jacobs,12,12C
67,Christina Walters,10,10A
68,John Whitehead,10,10D
