learner_id,learner_name,grade,class_group,average_mark,average_attendance_rate,learner_status
1,Stephanie Ross,8,8A,58.708333333333336,0.84975,Attendance Support Needed
2,Zachary Hicks,10,10B,66.20833333333333,0.8975,On Track
3,Anthony Rodriguez,9,9B,64.58333333333333,0.87225,On Track
4,Rebecca Henderson,8,8E,69.625,0.8494999999999999,Attendance Support Needed
5,James Ferrell,8,8E,62.666666666666664,0.90525,On Track
6,Tricia Valencia,11,11A,64.16666666666667,0.8604999999999999,On Track
7,Nathan Maldonado,8,8A,75.95833333333333,0.90875,On Track
8,Debra Davidson,9,9B,66.45833333333333,0.825,Attendance Support Needed
9,Jeffrey Chavez,12,12E,64.95833333333333,0.8634999999999999,On Track
10,Sherri Baker,8,8E,67.625,0.8875,On Track
11,Cassandra Gaines,9,9E,70.70833333333333,0.8385,Attendance Support Needed
12,Elizabeth Fowler,11,11B,66.08333333333333,0.8235,Attendance Support Needed
13,Brittany Farmer,11,11E,54.458333333333336,0.8452500000000001,Attendance Support Needed
14,Paula Moreno,10,10A,76.625,0.84525,Attendance Support Needed
15,Fred Smith,9,9D,62.583333333333336,0.87425,On Track
16,Sherry Decker,10,10C,58.875,0.8665,On Track
17,Anthony Humphrey,9,9B,64.375,0.87575,On Track
18,Angelica Tucker,10,10A,73.54166666666667,0.87375,On Track
19,Philip Cannon,8,8D,67.5,0.86025,On Track
20,John Pierce,8,8C,66.04166666666667,0.8532500000000001,On Track
21,Shane Henderson,10,10E,70.625,0.894,On Track
22,Joshua Blair,10,10A,60.125,0.8995,On Track
23,Eric Carney,11,11E,55.791666666666664,0.88775,On Track
24,Jessica Holmes,8,8D,64.625,0.92775,On Track
25,Danny Morgan,8,8E,66.54166666666667,0.91225,On Track
26,Crystal Robinson,10,10E,55.5,0.90125,On Track
27,Mark Perez,10,10E,62.958333333333336,0.86675,On Track
28,Shannon Jones,9,9A,67.25,0.9105,On Track
29,Michael Lewis,8,8B,66.33333333333333,0.87825,On Track
30,Timothy Duncan,10,10A,60.541666666666664,0.896,On Track
31,Richard Aguirre,9,9A,68.41666666666667,0.8412499999999999,Attendance Support Needed
32,Brent Jordan,11,11C,63.875,0.8345,Attendance Support Needed
33,John Daniel,11,11C,67.04166666666667,0.82675,Attendance Support Needed
34,Victoria Garcia,9,9C,64.58333333333333,0.874,On Track
35,Gerald Hensley,10,10B,64.16666666666667,0.8945000000000001,On Track
36,Connor West,10,10A,64.83333333333333,0.861,On Track
37,Donald Wright,12,12B,62.541666666666664,0.903,On Track
38,Jessica Callahan,12,12B,72.125,0.8734999999999999,On Track
39,Amber Kidd,9,9D,67.54166666666667,0.86475,On Track
40,Tracy House,11,11C,67.41666666666667,0.86975,On Track
41,Carol Tucker,12,12B,62.5,0.8415,Attendance Support Needed
42,James Brown,10,10A,67.79166666666667,0.8815,On Track
43,William Baker,9,9A,67.83333333333333,0.8985000000000001,On Track
44,Jordan Henderson,10,10D,67.08333333333333,0.8472500000000001,Attendance Support Needed
45,Whitney Peters,10,10A,70.0,0.8635,On Track
46,Brittney Phillips,9,9E,58.583333333333336,0.887,On Track
47,Lauren Daniels,10,10B,67.79166666666667,0.86625,On Track
48,Amy Silva,11,11D,55.083333333333336,0.884,On Track
49,Sarah Moore,11,11B,69.33333333333333,0.83975,Attendance Support Needed
50,Angela Lopez,10,10B,63.416666666666664,0.8947499999999999,On Track
51,Megan Young,9,9E,66.41666666666667,0.8605,On Track
52,Steve Sanchez,12,12C,58.958333333333336,0.8545,On Track
53,Lisa Barnes,12,12D,63.333333333333336,0.857,On Track
54,Kelly Donovan,12,12D,59.291666666666664,0.851,On Track
55,Mike Allen,10,10B,64.04166666666667,0.90175,On Track
56,Michael Evans,9,9E,62.541666666666664,0.905,On Track
57,Paul Jones,11,11A,57.0,0.8335,Attendance Support Needed
